role,level,techstack,type,question
DevOps Engineer,Senior,TypeScript,Technical,Explain performance bottlenecks in DevOps Engineer when using TypeScript and how to resolve them.
Data Engineer,Junior,MongoDB,Technical,What are security concerns in Data Engineer with MongoDB and mitigation strategies?
Frontend Developer,Mid,React,Technical,Explain performance bottlenecks in Frontend Developer when using React and how to resolve them.
Backend Developer,Senior,TypeScript,Technical,Explain concurrency or async handling in Backend Developer with TypeScript.
Data Engineer,Mid,Node.js,Technical,How does Data Engineer work internally in Node.js and how would you optimize it?
Frontend Developer,Mid,Python,Technical,How does Frontend Developer work internally in Python and how would you optimize it?
Machine Learning Engineer,Mid,Kubernetes,Technical,How does Machine Learning Engineer work internally in Kubernetes and how would you optimize it?
DevOps Engineer,Junior,JavaScript,Technical,Explain performance bottlenecks in DevOps Engineer when using JavaScript and how to resolve them.
Backend Developer,Mid,Docker,Technical,Design a scalable Backend Developer system using Docker. What trade-offs would you consider?
DevOps Engineer,Mid,PostgreSQL,Technical,What are security concerns in DevOps Engineer with PostgreSQL and mitigation strategies?
Machine Learning Engineer,Senior,Next.js,Technical,How would you design monitoring and logging for Machine Learning Engineer using Next.js?
Full Stack Developer,Senior,React,Technical,How would you refactor a large-scale Full Stack Developer codebase built with React?
Full Stack Developer,Mid,Next.js,Technical,What are security concerns in Full Stack Developer with Next.js and mitigation strategies?
Full Stack Developer,Mid,TypeScript,Technical,How would you design monitoring and logging for Full Stack Developer using TypeScript?
Backend Developer,Senior,MongoDB,Technical,How would you architect a production-grade system in Backend Developer using MongoDB?
DevOps Engineer,Mid,AWS,Technical,How would you architect a production-grade system in DevOps Engineer using AWS?
Machine Learning Engineer,Junior,Kubernetes,Technical,How would you architect a production-grade system in Machine Learning Engineer using Kubernetes?
Data Engineer,Junior,Python,Technical,How would you improve latency in Data Engineer applications built with Python?
Backend Developer,Junior,MongoDB,Technical,How would you design monitoring and logging for Backend Developer using MongoDB?
Backend Developer,Junior,Docker,Technical,How would you refactor a large-scale Backend Developer codebase built with Docker?
Machine Learning Engineer,Senior,MongoDB,Technical,What are security concerns in Machine Learning Engineer with MongoDB and mitigation strategies?
Full Stack Developer,Junior,Kubernetes,Technical,How would you improve latency in Full Stack Developer applications built with Kubernetes?
Data Engineer,Junior,Python,Technical,What are security concerns in Data Engineer with Python and mitigation strategies?
Data Engineer,Senior,Kubernetes,Technical,How would you refactor a large-scale Data Engineer codebase built with Kubernetes?
Machine Learning Engineer,Senior,Docker,Technical,How would you architect a production-grade system in Machine Learning Engineer using Docker?
Backend Developer,Senior,Next.js,Technical,Design a scalable Backend Developer system using Next.js. What trade-offs would you consider?
Data Engineer,Junior,PostgreSQL,Technical,Explain performance bottlenecks in Data Engineer when using PostgreSQL and how to resolve them.
Full Stack Developer,Junior,React,Technical,Explain concurrency or async handling in Full Stack Developer with React.
Full Stack Developer,Junior,TypeScript,Technical,Explain performance bottlenecks in Full Stack Developer when using TypeScript and how to resolve them.
Machine Learning Engineer,Mid,Node.js,Technical,How would you architect a production-grade system in Machine Learning Engineer using Node.js?
Full Stack Developer,Junior,Next.js,Technical,Design a scalable Full Stack Developer system using Next.js. What trade-offs would you consider?
DevOps Engineer,Junior,Docker,Technical,Design a scalable DevOps Engineer system using Docker. What trade-offs would you consider?
DevOps Engineer,Junior,AWS,Technical,Explain concurrency or async handling in DevOps Engineer with AWS.
Data Engineer,Senior,Kubernetes,Technical,What are failure scenarios in Data Engineer with Kubernetes and how would you handle them?
Full Stack Developer,Mid,Kubernetes,Technical,Explain performance bottlenecks in Full Stack Developer when using Kubernetes and how to resolve them.
