role,level,techstack,type,question
Frontend Developer,Junior,Next.js,Mixed,How would you improve an existing Frontend Developer system built with Next.js?
DevOps Engineer,Senior,AWS,Mixed,Design and justify architecture choices for DevOps Engineer using AWS.
Frontend Developer,Junior,Next.js,Mixed,Design and justify architecture choices for Frontend Developer using Next.js.
Data Engineer,Junior,JavaScript,Mixed,Explain how you would optimize and debug Data Engineer in JavaScript.
Machine Learning Engineer,Junior,React,Mixed,How would you debug a production issue in Machine Learning Engineer involving React?
Full Stack Developer,Junior,Node.js,Mixed,How would you ensure reliability and performance in Full Stack Developer with Node.js?
DevOps Engineer,Senior,PostgreSQL,Mixed,Explain how you would optimize and debug DevOps Engineer in PostgreSQL.
Data Engineer,Mid,Docker,Mixed,How would you ensure reliability and performance in Data Engineer with Docker?
Frontend Developer,Senior,Python,Mixed,How would you improve an existing Frontend Developer system built with Python?
Frontend Developer,Mid,TypeScript,Mixed,How would you scale a system built with Frontend Developer and handle failures in TypeScript?
DevOps Engineer,Junior,MongoDB,Mixed,How would you debug a production issue in DevOps Engineer involving MongoDB?
DevOps Engineer,Junior,MongoDB,Mixed,How would you scale a system built with DevOps Engineer and handle failures in MongoDB?
Data Engineer,Mid,React,Mixed,How would you debug a production issue in Data Engineer involving React?
Machine Learning Engineer,Junior,Next.js,Mixed,How would you scale a system built with Machine Learning Engineer and handle failures in Next.js?
Data Engineer,Mid,Python,Mixed,Design a system using Data Engineer and explain a real challenge you might face with Python.
DevOps Engineer,Senior,Next.js,Mixed,How would you debug a production issue in DevOps Engineer involving Next.js?
Data Engineer,Mid,TypeScript,Mixed,Explain how you would optimize and debug Data Engineer in TypeScript.
Machine Learning Engineer,Senior,MongoDB,Mixed,Design a system using Machine Learning Engineer and explain a real challenge you might face with MongoDB.
Full Stack Developer,Mid,PostgreSQL,Mixed,Explain how you would optimize and debug Full Stack Developer in PostgreSQL.
Data Engineer,Senior,AWS,Mixed,Explain how you would optimize and debug Data Engineer in AWS.
Machine Learning Engineer,Mid,Kubernetes,Mixed,Describe trade-offs when using Machine Learning Engineer in a high-scale Kubernetes system.
Data Engineer,Mid,PostgreSQL,Mixed,Explain Data Engineer concepts and describe a real-world scenario using PostgreSQL.
DevOps Engineer,Mid,Docker,Mixed,Explain DevOps Engineer concepts and describe a real-world scenario using Docker.
Frontend Developer,Junior,Next.js,Mixed,Explain Frontend Developer concepts and describe a real-world scenario using Next.js.
Full Stack Developer,Mid,JavaScript,Mixed,How would you ensure reliability and performance in Full Stack Developer with JavaScript?
Data Engineer,Senior,Kubernetes,Mixed,Design a system using Data Engineer and explain a real challenge you might face with Kubernetes.
Data Engineer,Mid,Next.js,Mixed,Explain Data Engineer concepts and describe a real-world scenario using Next.js.
Machine Learning Engineer,Junior,PostgreSQL,Mixed,Explain Machine Learning Engineer concepts and describe a real-world scenario using PostgreSQL.
Machine Learning Engineer,Junior,Next.js,Mixed,Describe trade-offs when using Machine Learning Engineer in a high-scale Next.js system.
Full Stack Developer,Senior,PostgreSQL,Mixed,How would you debug a production issue in Full Stack Developer involving PostgreSQL?
Machine Learning Engineer,Junior,Kubernetes,Mixed,Explain a real-world use case of Machine Learning Engineer and challenges in Kubernetes.
Machine Learning Engineer,Senior,JavaScript,Mixed,Explain a real-world use case of Machine Learning Engineer and challenges in JavaScript.
Backend Developer,Mid,Node.js,Mixed,Describe trade-offs when using Backend Developer in a high-scale Node.js system.
Backend Developer,Mid,Docker,Mixed,How would you debug a production issue in Backend Developer involving Docker?
Full Stack Developer,Mid,Docker,Mixed,Describe trade-offs when using Full Stack Developer in a high-scale Docker system.
Backend Developer,Mid,MongoDB,Mixed,How would you debug a production issue in Backend Developer involving MongoDB?
Backend Developer,Senior,React,Mixed,How would you improve an existing Backend Developer system built with React?
DevOps Engineer,Junior,AWS,Mixed,Explain how you would optimize and debug DevOps Engineer in AWS.
Backend Developer,Junior,Kubernetes,Mixed,Explain a real-world use case of Backend Developer and challenges in Kubernetes.
Frontend Developer,Mid,AWS,Mixed,Explain a real-world use case of Frontend Developer and challenges in AWS.
Data Engineer,Mid,React,Mixed,How would you scale a system built with Data Engineer and handle failures in React?
DevOps Engineer,Senior,TypeScript,Mixed,Explain DevOps Engineer concepts and describe a real-world scenario using TypeScript.
DevOps Engineer,Senior,TypeScript,Mixed,Design a system using DevOps Engineer and explain a real challenge you might face with TypeScript.
DevOps Engineer,Senior,Kubernetes,Mixed,Design a system using DevOps Engineer and explain a real challenge you might face with Kubernetes.
Frontend Developer,Mid,JavaScript,Mixed,Explain a real-world use case of Frontend Developer and challenges in JavaScript.
Frontend Developer,Junior,Node.js,Mixed,Explain how you would optimize and debug Frontend Developer in Node.js.
Machine Learning Engineer,Junior,TypeScript,Mixed,Describe trade-offs when using Machine Learning Engineer in a high-scale TypeScript system.
DevOps Engineer,Junior,TypeScript,Mixed,How would you improve an existing DevOps Engineer system built with TypeScript?
DevOps Engineer,Senior,JavaScript,Mixed,How would you debug a production issue in DevOps Engineer involving JavaScript?
Backend Developer,Junior,Python,Mixed,How would you scale a system built with Backend Developer and handle failures in Python?
Backend Developer,Junior,JavaScript,Mixed,Design a system using Backend Developer and explain a real challenge you might face with JavaScript.
Backend Developer,Junior,Node.js,Mixed,Design and justify architecture choices for Backend Developer using Node.js.
DevOps Engineer,Mid,Next.js,Mixed,Explain how you would optimize and debug DevOps Engineer in Next.js.
Backend Developer,Senior,Kubernetes,Mixed,Explain Backend Developer concepts and describe a real-world scenario using Kubernetes.
Data Engineer,Junior,Next.js,Mixed,Design and justify architecture choices for Data Engineer using Next.js.
Data Engineer,Senior,PostgreSQL,Mixed,How would you ensure reliability and performance in Data Engineer with PostgreSQL?
Frontend Developer,Mid,PostgreSQL,Mixed,Design and justify architecture choices for Frontend Developer using PostgreSQL.
Backend Developer,Mid,Kubernetes,Mixed,How would you scale a system built with Backend Developer and handle failures in Kubernetes?
Machine Learning Engineer,Senior,PostgreSQL,Mixed,How would you scale a system built with Machine Learning Engineer and handle failures in PostgreSQL?
Data Engineer,Junior,Python,Mixed,How would you scale a system built with Data Engineer and handle failures in Python?
Full Stack Developer,Mid,Python,Mixed,How would you improve an existing Full Stack Developer system built with Python?
Backend Developer,Senior,JavaScript,Mixed,How would you improve an existing Backend Developer system built with JavaScript?
Frontend Developer,Mid,TypeScript,Mixed,Explain a real-world use case of Frontend Developer and challenges in TypeScript.
Full Stack Developer,Mid,Kubernetes,Mixed,How would you ensure reliability and performance in Full Stack Developer with Kubernetes?
Frontend Developer,Mid,MongoDB,Mixed,How would you debug a production issue in Frontend Developer involving MongoDB?
Backend Developer,Mid,MongoDB,Mixed,How would you ensure reliability and performance in Backend Developer with MongoDB?
Frontend Developer,Mid,Node.js,Mixed,How would you ensure reliability and performance in Frontend Developer with Node.js?
Backend Developer,Senior,PostgreSQL,Mixed,How would you scale a system built with Backend Developer and handle failures in PostgreSQL?
DevOps Engineer,Senior,AWS,Mixed,How would you scale a system built with DevOps Engineer and handle failures in AWS?
Frontend Developer,Mid,Docker,Mixed,How would you debug a production issue in Frontend Developer involving Docker?
Frontend Developer,Junior,React,Mixed,Explain a real-world use case of Frontend Developer and challenges in React.
Backend Developer,Mid,Docker,Mixed,Design a system using Backend Developer and explain a real challenge you might face with Docker.
Backend Developer,Junior,React,Mixed,How would you ensure reliability and performance in Backend Developer with React?
Full Stack Developer,Senior,Docker,Mixed,Explain Full Stack Developer concepts and describe a real-world scenario using Docker.
Full Stack Developer,Mid,Python,Mixed,Explain how you would optimize and debug Full Stack Developer in Python.
Data Engineer,Senior,Kubernetes,Mixed,How would you scale a system built with Data Engineer and handle failures in Kubernetes?
